Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
United States,USA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,20.17875051,19.63650507,19.61340408,19.56410453,19.65837118,19.59188523,19.09406652,19.21789784,18.46176387,17.15773779,17.44286171,16.97695728,16.3104711,16.32347679,16.50283724
United Kingdom,GBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,9.199549233,9.233174987,8.904123108,9.053277839,8.989140127,8.982938536,8.89871022,8.617163681,8.424423983,7.574622131,7.857836486,7.079297626,7.355898277,7.145844359,6.49744049
India,IND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.979870442,0.97169808,0.967381128,0.992391683,1.025027608,1.068563218,1.121981504,1.19320986,1.310097833,1.431844254,1.397008906,1.47668635,1.598098637,1.591437853,1.730000432
China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.696862433,2.742120813,3.007083197,3.524074093,4.037990651,4.523178064,4.980314197,5.334909929,5.701915025,6.010102433,6.560520007,7.241515419,7.424750916,7.557211045,7.543907641
Russian Federation,RUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,10.62712053,10.6696034,10.71590102,11.09064748,11.12062698,11.25352867,11.66912207,11.67245657,12.01450651,11.02385623,11.69434812,12.334881,12.78497902,12.39355647,11.85752777
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,17.20060983,16.73336743,17.37045177,16.90195895,17.02651535,17.16971145,17.65139831,17.86526004,18.16087566,18.20018196,17.74084505,17.53887776,17.07290468,16.09583317,15.38876602
France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.946665463,6.153060599,6.068664472,6.115998108,6.120078568,6.099598855,5.906266386,5.76638517,5.690501415,5.438356727,5.428980862,5.077911491,5.075063887,5.062174035,4.573182147
Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,10.09563988,10.3662867,10.0586725,9.969354525,9.898682369,9.666372234,9.911476012,9.488039888,9.506321178,8.818595562,9.279634012,9.12485921,9.199299757,9.39062342,8.889370395
Canada,CAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,17.36711469,16.98502952,16.55937785,17.46119914,17.25891114,17.25108328,16.69669436,16.85588274,16.87519788,15.96156016,15.723167,15.63975962,14.89063564,14.71197182,15.11715878
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.871118313,1.898353874,1.844379611,1.762482362,1.828671981,1.858087992,1.839393859,1.901371917,2.008670258,1.883811784,2.132937571,2.211587235,2.343570115,2.488417184,2.594388285
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.835573665,3.568599866,3.291547735,3.52558427,4.06905838,4.141236814,4.434821452,4.382668884,4.682912395,4.410889894,4.558499612,4.600290699,4.569383676,4.462903755,4.746797455
Pakistan,PAK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.768458119,0.764701583,0.788667608,0.804958723,0.872801659,0.887768063,0.929856974,0.991029936,0.972050346,0.950832112,0.946268168,0.929801105,0.918978434,0.904315983,0.896264105
Nepal,NPL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.129282276,0.135225857,0.106876799,0.113901965,0.105477444,0.120277398,0.098811563,0.099736268,0.129223796,0.162087331,0.187128275,0.202491061,0.211798007,0.237169787,0.283538526
Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.211802225,0.242020016,0.246756218,0.25660216,0.266823041,0.275246594,0.299529173,0.301630726,0.332727819,0.357158767,0.393936699,0.412011186,0.433487963,0.442400828,0.459141965
Japan,JPN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,9.622351624,9.464308709,9.573130135,9.725282059,9.909203497,9.698882518,9.632048618,9.782963899,9.449533972,8.620816388,9.148316038,9.317426666,9.63862829,9.780815065,9.538706103
